Rank,Player,Team,Pos,ESPN,Fantrax,Sleeper,AVG
1,Jonathan Taylor,IND,RB,1.0,1.0,1.0,1.0
2,Christian McCaffrey,CAR,RB,2.0,4.0,2.0,3.0
3,Austin Ekeler,LAC,RB,4.0,2.0,4.0,3.0
4,Cooper Kupp,LAR,WR,3.0,3.0,5.0,4.2
5,Derrick Henry,TEN,RB,5.0,6.0,3.0,4.8
6,Justin Jefferson,MIN,WR,6.0,5.0,6.0,5.4
7,Najee Harris,PIT,RB,8.0,7.0,9.0,7.6
8,Dalvin Cook,MIN,RB,9.0,8.0,7.0,7.8
9,Ja'Marr Chase,CIN,WR,7.0,9.0,8.0,8.6
10,Joe Mixon,CIN,RB,14.0,10.0,10.0,10.6
11,Davante Adams,LV,WR,10.0,11.0,11.0,11.4
12,Stefon Diggs,BUF,WR,13.0,12.0,12.0,12.4
13,Travis Kelce,KC,TE,17.0,13.0,13.0,14.4
14,D'Andre Swift,DET,RB,15.0,14.0,14.0,15.0
15,Alvin Kamara,NO,RB,11.0,20.0,18.0,16.0
16,Deebo Samuel,SF,WR,12.0,16.0,20.0,16.6
17,Nick Chubb,CLE,RB,26.0,17.0,15.0,18.2
18,CeeDee Lamb,DAL,WR,18.0,18.0,16.0,19.2
19,Tyreek Hill,MIA,WR,16.0,23.0,17.0,19.8
20,Aaron Jones,GB,RB,22.0,19.0,19.0,20.2
21,Javonte Williams,DEN,RB,23.0,15.0,24.0,20.8
22,Mark Andrews,BAL,TE,20.0,21.0,23.0,21.2
23,Josh Allen,BUF,QB,21.0,26.0,22.0,21.8
24,Saquon Barkley,NYG,RB,27.0,24.0,21.0,22.4
25,Leonard Fournette,TB,RB,19.0,22.0,25.0,23.2
26,Mike Evans,TB,WR,28.0,25.0,27.0,27.2
27,Keenan Allen,LAC,WR,24.0,28.0,28.0,28.6
28,A.J. Brown,PHI,WR,33.0,29.0,26.0,29.6
29,Ezekiel Elliott,DAL,RB,38.0,35.0,29.0,30.0
30,James Conner,ARI,RB,25.0,31.0,31.0,30.8
31,Patrick Mahomes II,KC,QB,29.0,41.0,32.0,32.4
32,Tee Higgins,CIN,WR,30.0,30.0,33.0,33.4
33,Kyle Pitts,ATL,TE,34.0,34.0,30.0,33.8
34,David Montgomery,CHI,RB,41.0,33.0,38.0,35.6
35,Justin Herbert,LAC,QB,36.0,43.0,34.0,36.0
36,Cam Akers,LAR,RB,32.0,27.0,35.0,37.0
37,Michael Pittman Jr.,IND,WR,31.0,38.0,39.0,37.8
38,Diontae Johnson,PIT,WR,40.0,36.0,41.0,41.4
39,George Kittle,SF,TE,43.0,47.0,36.0,41.6
40,Jaylen Waddle,MIA,WR,39.0,32.0,43.0,41.8
41,Terry McLaurin,WAS,WR,37.0,44.0,37.0,41.8
42,Travis Etienne Jr.,JAC,RB,51.0,40.0,42.0,44.0
43,DJ Moore,CAR,WR,35.0,42.0,45.0,44.2
44,Darren Waller,LV,TE,42.0,49.0,40.0,44.6
45,DK Metcalf,SEA,WR,46.0,46.0,47.0,45.8
46,Josh Jacobs,LV,RB,53.0,39.0,48.0,45.8
47,Lamar Jackson,BAL,QB,44.0,53.0,46.0,47.0
48,Elijah Mitchell,SF,RB,65.0,48.0,55.0,51.0
49,Mike Williams,LAC,WR,45.0,45.0,52.0,51.6
50,J.K. Dobbins,BAL,RB,47.0,80.0,54.0,52.6
51,Breece Hall,NYJ,RB,48.0,37.0,44.0,53.0
52,Antonio Gibson,WAS,RB,59.0,77.0,50.0,54.0
53,Brandin Cooks,HOU,WR,50.0,51.0,62.0,54.0
54,Kyler Murray,ARI,QB,54.0,68.0,57.0,57.4
55,Chris Godwin,TB,WR,60.0,55.0,63.0,58.2
56,Dalton Schultz,DAL,TE,57.0,67.0,56.0,60.0
57,Joe Burrow,CIN,QB,72.0,64.0,53.0,62.0
58,Courtland Sutton,DEN,WR,55.0,59.0,51.0,62.6
59,Amari Cooper,CLE,WR,67.0,56.0,58.0,62.8
60,Jalen Hurts,PHI,QB,56.0,73.0,66.0,64.8
61,Jerry Jeudy,DEN,WR,49.0,61.0,49.0,65.2
62,Marquise Brown,ARI,WR,52.0,50.0,60.0,65.2
63,Amon-Ra St. Brown,DET,WR,58.0,52.0,67.0,65.2
64,T.J. Hockenson,DET,TE,64.0,71.0,61.0,66.8
65,Clyde Edwards-Helaire,KC,RB,80.0,62.0,65.0,67.0
66,AJ Dillon,GB,RB,94.0,54.0,68.0,67.2
67,Adam Thielen,MIN,WR,73.0,70.0,70.0,68.6
68,Darnell Mooney,CHI,WR,61.0,58.0,71.0,68.8
69,Allen Robinson II,LAR,WR,74.0,63.0,59.0,69.4
70,Damien Harris,NE,RB,90.0,57.0,75.0,72.6
71,Miles Sanders,PHI,RB,77.0,74.0,72.0,75.2
72,Gabriel Davis,BUF,WR,62.0,60.0,81.0,75.4
73,Dallas Goedert,PHI,TE,79.0,87.0,74.0,76.0
74,Dak Prescott,DAL,QB,68.0,78.0,88.0,76.4
75,Michael Thomas,NO,WR,63.0,75.0,64.0,77.0
76,Hunter Renfrow,LV,WR,75.0,66.0,86.0,79.4
77,Cordarrelle Patterson,ATL,RB,83.0,69.0,83.0,79.8
78,Tom Brady,TB,QB,69.0,90.0,78.0,80.4
79,JuJu Smith-Schuster,KC,WR,76.0,72.0,69.0,80.6
80,Russell Wilson,DEN,QB,78.0,83.0,73.0,81.4
81,Devin Singletary,BUF,RB,71.0,76.0,91.0,81.6
82,Kareem Hunt,CLE,RB,82.0,84.0,79.0,83.2
83,Elijah Moore,NYJ,WR,97.0,65.0,90.0,83.4
84,Aaron Rodgers,GB,QB,66.0,104.0,92.0,83.6
85,Tony Pollard,DAL,RB,91.0,86.0,85.0,83.6
86,DeAndre Hopkins,ARI,WR,95.0,105.0,77.0,85.2
87,DeVonta Smith,PHI,WR,85.0,79.0,87.0,86.8
88,Rashaad Penny,SEA,RB,107.0,85.0,93.0,87.2
89,Tyler Lockett,SEA,WR,86.0,82.0,97.0,87.6
90,Zach Ertz,ARI,TE,87.0,96.0,84.0,89.0
91,Matthew Stafford,LAR,QB,93.0,93.0,98.0,90.4
92,Rashod Bateman,BAL,WR,84.0,81.0,76.0,91.8
93,Chase Edmonds,MIA,RB,105.0,88.0,94.0,93.2
94,Brandon Aiyuk,SF,WR,103.0,91.0,95.0,94.0
95,Drake London,ATL,WR,89.0,92.0,82.0,96.2
96,Dawson Knox,BUF,TE,115.0,111.0,89.0,98.8
97,Robert Woods,TEN,WR,116.0,99.0,106.0,101.4
98,Trey Lance,SF,QB,101.0,103.0,102.0,102.4
99,Melvin Gordon III,DEN,RB,123.0,101.0,103.0,104.0
100,Ken Walker III,SEA,RB,121.0,89.0,80.0,105.6
101,Christian Kirk,JAC,WR,104.0,97.0,107.0,106.0
102,Buffalo Bills,DST,DST,70.0,135.0,123.0,106.4
103,Rhamondre Stevenson,NE,RB,98.0,95.0,105.0,108.2
104,Chase Claypool,PIT,WR,109.0,106.0,110.0,109.6
105,Justin Tucker,BAL,K,81.0,138.0,122.0,111.0
106,Derek Carr,LV,QB,113.0,114.0,111.0,111.8
107,Allen Lazard,GB,WR,96.0,116.0,99.0,112.8
108,James Robinson,JAC,RB,119.0,124.0,116.0,113.0
109,Michael Carter,NYJ,RB,136.0,100.0,115.0,113.0
110,Pat Freiermuth,PIT,TE,110.0,144.0,104.0,115.2
111,Mike Gesicki,MIA,TE,99.0,120.0,109.0,115.8
112,Chris Olave,NO,WR,114.0,108.0,101.0,116.2
113,Treylon Burks,TEN,WR,134.0,98.0,96.0,118.4
114,Tampa Bay Buccaneers,DST,DST,111.0,150.0,126.0,121.2
115,James Cook,BUF,RB,118.0,119.0,100.0,121.2
116,Kadarius Toney,NYG,WR,100.0,107.0,112.0,121.4
117,Kirk Cousins,MIN,QB,126.0,112.0,121.0,121.4
118,Garrett Wilson,NYJ,WR,112.0,110.0,108.0,124.6
119,Alexander Mattison,MIN,RB,158.0,113.0,119.0,127.6
120,Russell Gage,TB,WR,139.0,102.0,134.0,130.4
121,Tyler Boyd,CIN,WR,129.0,117.0,118.0,131.0
122,Dameon Pierce,HOU,RB,125.0,139.0,114.0,131.2
123,Dallas Cowboys,DST,DST,127.0,123.0,138.0,131.8
124,New Orleans Saints,DST,DST,88.0,153.0,135.0,133.0
125,Evan McPherson,CIN,K,92.0,176.0,124.0,134.2
126,Harrison Butker,KC,K,120.0,170.0,127.0,135.6
127,Daniel Carlson,LV,K,122.0,163.0,130.0,136.0
128,Darrell Henderson Jr.,LAR,RB,175.0,115.0,147.0,136.2
129,Cole Kmet,CHI,TE,132.0,126.0,117.0,136.4
130,Indianapolis Colts,DST,DST,133.0,182.0,158.0,138.0
131,San Francisco 49ers,DST,DST,117.0,215.0,131.0,138.8
132,Tua Tagovailoa,MIA,QB,142.0,125.0,146.0,139.8
133,Justin Fields,CHI,QB,153.0,122.0,151.0,141.6
134,Skyy Moore,KC,WR,130.0,140.0,113.0,142.8
135,Nyheim Hines,IND,RB,137.0,129.0,142.0,143.6
136,Los Angeles Rams,DST,DST,155.0,214.0,125.0,146.4
137,DJ Chark Jr.,DET,WR,160.0,146.0,177.0,147.0
138,Marquez Valdes-Scantling,KC,WR,131.0,130.0,137.0,148.0
139,Matt Gay,LAR,K,106.0,211.0,132.0,148.6
140,Jakobi Meyers,NE,WR,128.0,137.0,165.0,150.8
141,Tyler Bass,BUF,K,141.0,233.0,136.0,152.0
142,Raheem Mostert,MIA,RB,152.0,162.0,190.0,152.2
143,George Pickens,PIT,WR,147.0,196.0,133.0,152.6
144,J.D. McKissic,WAS,RB,151.0,131.0,172.0,152.6
145,Hunter Henry,NE,TE,124.0,249.0,144.0,154.2
