RK,Player,Team,Position,AVG
1,Jonathan Taylor,IND ,RB,1.6
2,Christian McCaffrey,CAR ,RB,2.6
3,Justin Jefferson,MIN ,WR,3.4
4,Cooper Kupp,LAR ,WR,4.6
5,Ja'Marr Chase,CIN ,WR,5.0
6,Dalvin Cook,MIN ,RB,5.6
7,Austin Ekeler,LAC ,RB,6.6
8,Stefon Diggs,BUF ,WR,9.6
9,Derrick Henry,TEN ,RB,11.0
10,Najee Harris,PIT ,RB,11.2
11,Davante Adams,LV ,WR,11.4
12,D'Andre Swift,DET ,RB,12.4
13,Joe Mixon,CIN ,RB,12.8
14,CeeDee Lamb,DAL ,WR,14.6
15,Saquon Barkley,NYG ,RB,15.4
16,Travis Kelce,KC ,TE,16.8
17,Alvin Kamara,NO ,RB,18.0
18,A.J. Brown,PHI ,WR,19.6
19,Javonte Williams,DEN ,RB,21.6
20,Deebo Samuel,SF ,WR,24.0
21,Aaron Jones,GB ,RB,24.6
22,Leonard Fournette,TB ,RB,24.6
23,Mark Andrews,BAL ,TE,26.4
24,Nick Chubb,CLE ,RB,26.6
25,Mike Williams,LAC ,WR,26.8
26,Michael Pittman Jr.,IND ,WR,27.2
27,James Conner,ARI ,RB,27.6
28,Mike Evans,TB ,WR,28.6
29,Kyle Pitts,ATL ,TE,29.2
30,Tyreek Hill,MIA ,WR,29.6
31,Tee Higgins,CIN ,WR,30.6
32,Josh Allen,BUF ,QB,31.2
33,Travis Etienne Jr.,JAC ,RB,32.6
34,Cam Akers,LAR ,RB,35.2
35,Keenan Allen,LAC ,WR,35.2
36,DJ Moore,CAR ,WR,37.4
37,Jaylen Waddle,MIA ,WR,38.2
38,Courtland Sutton,DEN ,WR,39.4
39,Lamar Jackson,BAL ,QB,40.6
40,Breece Hall,NYJ ,RB,42.0
41,Terry McLaurin,WAS ,WR,43.4
42,Patrick Mahomes II,KC ,QB,44.0
43,Ezekiel Elliott,DAL ,RB,46.2
44,AJ Dillon,GB ,RB,48.2
45,Justin Herbert,LAC ,QB,48.6
46,Diontae Johnson,PIT ,WR,49.0
47,Gabriel Davis,BUF ,WR,49.0
48,Michael Thomas,NO ,WR,51.8
49,George Kittle,SF ,TE,53.0
50,J.K. Dobbins,BAL ,RB,53.4
51,Brandin Cooks,HOU ,WR,53.8
52,Darren Waller,LV ,TE,56.2
53,Rashod Bateman,BAL ,WR,57.6
54,Kyler Murray,ARI ,QB,58.2
55,Josh Jacobs,LV ,RB,58.2
56,Chase Edmonds,MIA ,RB,58.4
57,Jalen Hurts,PHI ,QB,58.6
58,David Montgomery,CHI ,RB,59.0
59,DK Metcalf,SEA ,WR,60.2
60,Marquise Brown,ARI ,WR,60.4
61,Allen Robinson II,LAR ,WR,62.6
62,Jerry Jeudy,DEN ,WR,63.6
63,Dalton Schultz,DAL ,TE,64.2
64,Elijah Mitchell,SF ,RB,64.6
65,Darnell Mooney,CHI ,WR,65.2
66,Miles Sanders,PHI ,RB,66.8
67,Kareem Hunt,CLE ,RB,67.6
68,Rhamondre Stevenson,NE ,RB,69.0
69,Damien Harris,NE ,RB,69.4
70,Elijah Moore,NYJ ,WR,69.4
71,Amon-Ra St. Brown,DET ,WR,70.6
72,Tony Pollard,DAL ,RB,71.8
73,Joe Burrow,CIN ,QB,72.8
74,Clyde Edwards-Helaire,KC ,RB,73.2
75,Rashaad Penny,SEA ,RB,75.6
76,Dallas Goedert,PHI ,TE,75.6
77,Tom Brady,TB ,QB,76.0
78,Dameon Pierce,HOU ,RB,76.0
79,Drake London,ATL ,WR,76.6
80,Chris Godwin,TB ,WR,76.6
81,Antonio Gibson,WAS ,RB,77.6
82,Devin Singletary,BUF ,RB,79.8
83,Amari Cooper,CLE ,WR,82.2
84,Trey Lance,SF ,QB,83.0
85,T.J. Hockenson,DET ,TE,84.6
86,Dak Prescott,DAL ,QB,85.8
87,Melvin Gordon III,DEN ,RB,86.6
88,JuJu Smith-Schuster,KC ,WR,87.0
89,Russell Wilson,DEN ,QB,89.2
90,Christian Kirk,JAC ,WR,89.4
91,Cordarrelle Patterson,ATL ,RB,90.6
92,James Cook,BUF ,RB,90.8
93,Zach Ertz,ARI ,TE,91.0
94,Brian Robinson Jr.,WAS ,RB,94.2
95,Allen Lazard,GB ,WR,95.4
96,Ken Walker III,SEA ,RB,96.4
97,Kadarius Toney,NYG ,WR,97.6
98,Hunter Renfrow,LV ,WR,100.2
99,DeVonta Smith,PHI ,WR,100.4
100,Matthew Stafford,LAR ,QB,101.2
101,Brandon Aiyuk,SF ,WR,101.2
102,Adam Thielen,MIN ,WR,103.0
103,Cole Kmet,CHI ,TE,103.8
104,Derek Carr,LV ,QB,104.8
105,Michael Carter,NYJ ,RB,106.4
106,Tyler Lockett,SEA ,WR,107.0
107,David Njoku,CLE ,TE,108.4
