RK,Player,Team,Position,AVG,Min,Max
1,Christian McCaffrey,CAR ,RB,1.2,1.0,2.0
2,Jonathan Taylor,IND ,RB,2.0,1.0,3.0
3,Austin Ekeler,LAC ,RB,4.4,2.0,7.0
4,Dalvin Cook,MIN ,RB,5.4,4.0,7.0
5,Justin Jefferson,MIN ,WR,6.0,3.0,10.0
6,Cooper Kupp,LAR ,WR,7.0,3.0,10.0
7,Najee Harris,PIT ,RB,8.6,4.0,12.0
8,Ja'Marr Chase,CIN ,WR,8.8,4.0,11.0
9,D'Andre Swift,DET ,RB,9.4,5.0,12.0
10,Joe Mixon,CIN ,RB,10.0,8.0,12.0
11,Stefon Diggs,BUF ,WR,11.4,8.0,14.0
12,Saquon Barkley,NYG ,RB,12.4,5.0,18.0
13,Davante Adams,LV ,WR,13.2,10.0,15.0
14,Derrick Henry,TEN ,RB,13.8,3.0,18.0
15,Travis Kelce,KC ,TE,14.0,9.0,19.0
16,CeeDee Lamb,DAL ,WR,16.2,13.0,17.0
17,Alvin Kamara,NO ,RB,17.4,13.0,21.0
18,Aaron Jones,GB ,RB,19.0,5.0,32.0
19,Mark Andrews,BAL ,TE,22.4,9.0,30.0
20,Leonard Fournette,TB ,RB,22.6,15.0,38.0
21,A.J. Brown,PHI ,WR,22.6,20.0,29.0
22,Javonte Williams,DEN ,RB,23.4,16.0,31.0
23,Kyle Pitts,ATL ,TE,24.6,14.0,30.0
24,Michael Pittman Jr.,IND ,WR,25.2,20.0,33.0
25,Keenan Allen,LAC ,WR,27.6,24.0,34.0
26,James Conner,ARI ,RB,27.8,21.0,35.0
27,Mike Williams,LAC ,WR,29.0,22.0,37.0
28,Mike Evans,TB ,WR,29.0,23.0,37.0
29,Tyreek Hill,MIA ,WR,29.2,21.0,39.0
30,Nick Chubb,CLE ,RB,29.6,25.0,38.0
31,Tee Higgins,CIN ,WR,29.8,22.0,42.0
32,Deebo Samuel,SF ,WR,31.4,19.0,46.0
33,Travis Etienne Jr.,JAC ,RB,31.8,27.0,38.0
34,Jaylen Waddle,MIA ,WR,33.6,26.0,42.0
35,DJ Moore,CAR ,WR,34.0,20.0,53.0
36,Josh Allen,BUF ,QB,36.0,36.0,36.0
37,Cam Akers,LAR ,RB,36.4,25.0,55.0
38,Breece Hall,NYJ ,RB,40.6,32.0,48.0
39,Courtland Sutton,DEN ,WR,41.6,23.0,66.0
40,Terry McLaurin,WAS ,WR,42.6,34.0,54.0
41,Ezekiel Elliott,DAL ,RB,43.6,32.0,55.0
42,Diontae Johnson,PIT ,WR,43.6,34.0,54.0
43,AJ Dillon,GB ,RB,44.4,41.0,49.0
44,Michael Thomas,NO ,WR,47.4,33.0,58.0
45,Brandin Cooks,HOU ,WR,48.6,42.0,65.0
46,George Kittle,SF ,TE,51.4,51.0,52.0
47,Patrick Mahomes II,KC ,QB,52.4,40.0,69.0
48,Rashod Bateman,BAL ,WR,54.0,39.0,63.0
49,Lamar Jackson,BAL ,QB,54.2,40.0,69.0
50,Chase Edmonds,MIA ,RB,54.4,35.0,64.0
51,J.K. Dobbins,BAL ,RB,54.8,48.0,73.0
52,Darren Waller,LV ,TE,54.8,51.0,67.0
53,Gabriel Davis,BUF ,WR,55.2,46.0,72.0
