RK,Player,Team,Position,AVG
1,Jonathan Taylor,IND ,RB,1.2
2,Christian McCaffrey,CAR ,RB,2.6
3,Dalvin Cook,MIN ,RB,4.0
4,Derrick Henry,TEN ,RB,6.2
5,Austin Ekeler,LAC ,RB,6.4
6,Najee Harris,PIT ,RB,7.2
7,Joe Mixon,CIN ,RB,7.6
8,Justin Jefferson,MIN ,WR,8.6
9,Ja'Marr Chase,CIN ,WR,9.6
10,Cooper Kupp,LAR ,WR,10.2
11,Saquon Barkley,NYG ,RB,12.0
12,Stefon Diggs,BUF ,WR,13.8
13,Davante Adams,LV ,WR,14.8
14,D'Andre Swift,DET ,RB,15.2
15,Alvin Kamara,NO ,RB,15.6
16,Nick Chubb,CLE ,RB,16.4
17,Travis Kelce,KC ,TE,16.4
18,Mark Andrews,BAL ,TE,19.4
19,Javonte Williams,DEN ,RB,20.4
20,Deebo Samuel,SF ,WR,21.2
21,CeeDee Lamb,DAL ,WR,21.2
22,A.J. Brown,PHI ,WR,22.6
23,Aaron Jones,GB ,RB,22.8
24,Leonard Fournette,TB ,RB,23.4
25,James Conner,ARI ,RB,23.6
26,Mike Evans,TB ,WR,28.8
27,Kyle Pitts,ATL ,TE,29.0
28,Tyreek Hill,MIA ,WR,29.0
29,Mike Williams,LAC ,WR,29.0
30,Michael Pittman Jr.,IND ,WR,29.2
31,Cam Akers,LAR ,RB,31.6
32,Tee Higgins,CIN ,WR,31.8
33,Josh Allen,BUF ,QB,33.6
34,Travis Etienne Jr.,JAC ,RB,36.2
35,Courtland Sutton,DEN ,WR,37.0
36,DJ Moore,CAR ,WR,38.2
37,Breece Hall,NYJ ,RB,39.2
38,Jaylen Waddle,MIA ,WR,39.4
39,Keenan Allen,LAC ,WR,40.4
40,Ezekiel Elliott,DAL ,RB,40.6
41,Gabriel Davis,BUF ,WR,41.2
42,Terry McLaurin,WAS ,WR,42.4
43,AJ Dillon,GB ,RB,42.8
44,DK Metcalf,SEA ,WR,48.8
45,Brandin Cooks,HOU ,WR,50.8
46,Lamar Jackson,BAL ,QB,51.8
47,J.K. Dobbins,BAL ,RB,51.8
48,George Kittle,SF ,TE,52.0
49,Justin Herbert,LAC ,QB,52.6
50,Patrick Mahomes II,KC ,QB,53.2
51,Diontae Johnson,PIT ,WR,55.0
52,Marquise Brown,ARI ,WR,56.0
53,Rashod Bateman,BAL ,WR,57.2
54,Darren Waller,LV ,TE,57.8
55,Michael Thomas,NO ,WR,58.2
56,Elijah Mitchell,SF ,RB,58.8
57,Josh Jacobs,LV ,RB,58.8
58,Jalen Hurts,PHI ,QB,59.6
59,Kyler Murray,ARI ,QB,60.0
60,David Montgomery,CHI ,RB,61.4
61,Elijah Moore,NYJ ,WR,61.8
62,Jerry Jeudy,DEN ,WR,62.2
63,Dalton Schultz,DAL ,TE,63.0
64,Allen Robinson II,LAR ,WR,66.0
65,Damien Harris,NE ,RB,66.2
66,Darnell Mooney,CHI ,WR,68.2
67,Joe Burrow,CIN ,QB,69.6
68,Miles Sanders,PHI ,RB,69.8
69,Chase Edmonds,MIA ,RB,71.0
70,Rhamondre Stevenson,NE ,RB,73.4
71,Drake London,ATL ,WR,74.0
72,Chris Godwin,TB ,WR,74.8
73,Amari Cooper,CLE ,WR,75.0
74,T.J. Hockenson,DET ,TE,75.0
75,Amon-Ra St. Brown,DET ,WR,75.2
76,Clyde Edwards-Helaire,KC ,RB,76.4
77,Dallas Goedert,PHI ,TE,77.8
78,Rashaad Penny,SEA ,RB,78.0
79,Antonio Gibson,WAS ,RB,80.0
80,Allen Lazard,GB ,WR,80.4
81,Trey Lance,SF ,QB,81.0
82,Dameon Pierce,HOU ,RB,81.2
83,Kareem Hunt,CLE ,RB,82.0
84,Tony Pollard,DAL ,RB,82.2
85,Christian Kirk,JAC ,WR,83.4
86,Tom Brady,TB ,QB,83.6
87,Devin Singletary,BUF ,RB,84.2
88,JuJu Smith-Schuster,KC ,WR,84.2
89,Russell Wilson,DEN ,QB,85.6
90,Dak Prescott,DAL ,QB,85.6
91,Brandon Aiyuk,SF ,WR,89.8
92,Zach Ertz,ARI ,TE,91.4
93,Melvin Gordon III,DEN ,RB,92.0
94,DeVonta Smith,PHI ,WR,92.4
95,Kadarius Toney,NYG ,WR,97.2
96,Tyler Lockett,SEA ,WR,99.0
97,Adam Thielen,MIN ,WR,100.2
98,Brian Robinson Jr.,WAS ,RB,100.6
99,Matthew Stafford,LAR ,QB,101.8
100,Cordarrelle Patterson,ATL ,RB,102.0
