Player,Team,Pos,RushingAtt,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FL,PassingAtt,PassingCmp,PassingYds,PassingTD,TotalInt,TotalSacks,Int,FumblesRecovered,FumblesForced,DefensiveTDs,SafetysForced,PointsAllowed,YardsAgainst,FieldGoalsMade,FieldGoalsAttempted,ExtraPointsMade
Jonathan Taylor,IND,RB,325.4,"1,600.10",14.8,42.5,354.3,2,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Henry,TEN,RB,366.2,"1,640.10",13,27.4,216,0.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Ekeler,LAC,RB,221.1,984,9.4,74.5,665,5.3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian McCaffrey,CAR,RB,237.4,"1,057.40",7.6,88.9,757.9,4.1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Mixon,CIN,RB,287.4,"1,204.20",9.8,47.1,341.9,2.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dalvin Cook,MIN,RB,276.2,"1,241.80",9.8,44.9,334.1,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvin Kamara,NO,RB,219.5,964.2,8,60,529.2,4.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Najee Harris,PIT,RB,298.3,"1,183.10",7.7,60.7,397.3,2.1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leonard Fournette,TB,RB,230.6,961,9.1,61.1,417,2.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Conner,ARI,RB,226.4,927.1,10.3,44.1,358.5,2.3,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Chubb,CLE,RB,247.6,"1,230.00",8.4,25.3,206.2,1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Jones,GB,RB,193.7,913.2,6.1,60.2,493,3.8,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javonte Williams,DEN,RB,232.4,"1,025.20",7.8,45.9,345.8,2.7,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
