,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
1,Jonathan Taylor,IND,RB,326.1,"1,602.9",14.7,42.4,353.8,2.0,2.3,0.0,0.0,0,0.0,0.0
2,Derrick Henry,TEN,RB,366.2,"1,640.3",13.0,27.4,215.9,0.9,2.0,0.0,0.0,0,0.0,0.0
3,Austin Ekeler,LAC,RB,221.0,983.5,9.4,74.4,664.8,5.3,1.5,0.0,0.0,0,0.0,0.0
4,Christian McCaffrey,CAR,RB,238.6,"1,061.6",7.5,89.0,758.2,4.1,1.4,0.0,0.0,0,0.0,0.0
5,Joe Mixon,CIN,RB,286.8,"1,202.4",9.8,47.1,342.1,2.6,1.6,0.0,0.0,0,0.0,0.0
6,Dalvin Cook,MIN,RB,276.2,"1,241.8",9.8,44.9,334.3,1.5,2.5,0.0,0.0,0,0.0,0.0
7,Alvin Kamara,NO,RB,219.2,963.1,7.9,60.0,529.8,4.1,1.2,0.0,0.0,0,0.0,0.0
8,Najee Harris,PIT,RB,298.5,"1,183.8",7.7,60.7,397.1,2.1,1.6,0.0,0.0,0,0.0,0.0
9,James Conner,ARI,RB,226.5,927.4,10.3,44.1,358.5,2.3,1.6,0.0,0.0,0,0.0,0.0
10,Leonard Fournette,TB,RB,227.3,949.9,9.0,61.1,416.7,2.1,1.3,0.0,0.0,0,0.0,0.0
11,Aaron Jones,GB,RB,193.6,920.0,6.1,60.9,498.6,3.8,1.5,0.0,0.0,0,0.0,0.0
12,Nick Chubb,CLE,RB,247.9,"1,231.6",8.5,25.2,206.1,1.0,1.6,0.0,0.0,0,0.0,0.0
13,Javonte Williams,DEN,RB,232.5,"1,025.5",7.8,45.9,345.7,2.7,1.7,0.0,0.0,0,0.0,0.0
14,Saquon Barkley,NYG,RB,244.9,"1,027.2",6.6,57.6,423.4,2.2,1.5,0.0,0.0,0,0.0,0.0
15,D'Andre Swift,DET,RB,216.2,914.6,6.5,65.4,481.2,2.5,1.9,0.0,0.0,0,0.0,0.0
16,David Montgomery,CHI,RB,234.8,948.3,7.6,44.4,345.4,1.9,1.4,0.0,0.0,0,0.0,0.0
17,Ezekiel Elliott,DAL,RB,232.3,970.9,8.1,40.8,278.2,1.8,2.1,0.0,0.0,0,0.0,0.0
18,Cam Akers,LAR,RB,236.3,"1,027.5",7.1,34.9,280.8,1.6,3.3,0.0,0.0,0,0.0,0.0
19,J.K. Dobbins,BAL,RB,195.8,948.7,8.2,33.2,242.5,1.4,1.0,0.0,0.0,0,0.0,0.0
20,Elijah Mitchell,SF,RB,239.1,"1,027.8",7.3,25.8,196.6,1.3,1.2,0.0,0.0,0,0.0,0.0
21,Damien Harris,NE,RB,215.1,977.2,10.1,18.2,135.9,0.5,1.4,0.0,0.0,0,0.0,0.0
22,Josh Jacobs,LV,RB,222.3,938.2,8.1,38.4,267.0,0.9,1.9,0.0,0.0,0,0.0,0.0
23,Breece Hall,NYJ,RB,219.6,960.3,6.2,40.4,320.9,1.6,2.0,0.0,0.0,0,0.0,0.0
24,Miles Sanders,PHI,RB,204.4,"1,043.5",5.7,31.3,221.4,1.1,1.6,0.0,0.0,0,0.0,0.0
25,Antonio Gibson,WAS,RB,205.2,886.9,6.8,33.3,242.0,1.5,2.0,0.0,0.0,0,0.0,0.0
26,Clyde Edwards-Helaire,KC,RB,180.8,797.9,5.6,36.3,270.1,2.1,1.3,0.0,0.0,0,0.0,0.0
27,AJ Dillon,GB,RB,179.6,777.1,6.2,32.6,270.5,1.5,1.2,0.0,0.0,0,0.0,0.0
28,Rashaad Penny,SEA,RB,186.2,945.2,6.4,19.2,144.2,0.5,1.2,0.0,0.0,0,0.0,0.0
29,Devin Singletary,BUF,RB,183.6,847.5,6.0,33.1,222.3,1.3,1.3,0.0,0.0,0,0.0,0.0
30,Cordarrelle Patterson,ATL,RB,138.3,611.8,4.5,43.9,402.7,2.8,0.9,0.0,0.0,0,0.0,0.0
31,Tony Pollard,DAL,RB,157.3,749.4,3.8,45.1,369.4,1.9,1.3,0.0,0.0,0,0.0,0.0
32,Travis Etienne Jr.,JAC,RB,177.2,691.7,4.8,45.0,360.7,1.8,1.4,0.0,0.0,0,0.0,0.0
33,Rhamondre Stevenson,NE,RB,174.3,730.6,6.4,32.3,249.5,1.1,1.0,0.0,0.0,0,0.0,0.0
