Rank,Player,Team,Bye,POS,ESPN,RTSports,MFL,Fantrax,FFC,Sleeper,AVG
1,Jonathan Taylor,IND,14,RB1,1,1,,1,,1,1
2,Christian McCaffrey,CAR,13,RB2,2,2,,4,,2,3
3,Austin Ekeler,LAC,8,RB3,4,3,,2,,4,3
4,Cooper Kupp,LAR,7,WR1,3,6,,3,,5,4.2
5,Derrick Henry,TEN,6,RB4,5,7,,6,,3,4.8
6,Justin Jefferson,MIN,7,WR2,6,4,,5,,6,5.4
7,Najee Harris,PIT,9,RB5,8,5,,7,,9,7.6
8,Dalvin Cook,MIN,7,RB6,9,8,,8,,7,7.8
9,Ja'Marr Chase,CIN,10,WR3,7,9,,9,,8,8.6
10,Joe Mixon,CIN,10,RB7,14,11,,10,,10,10.6
11,Davante Adams,LV,6,WR4,10,14,,11,,11,11.4
12,Stefon Diggs,BUF,7,WR5,13,12,,12,,12,12.4
13,Travis Kelce,KC,8,TE1,17,17,,13,,13,14.4
14,D'Andre Swift,DET,6,RB8,15,10,,14,,14,15
15,Alvin Kamara,NO,14,RB9,11,13,,20,,18,16
16,Deebo Samuel,SF,9,WR6,12,19,,16,,20,16.6
17,Nick Chubb,CLE,9,RB10,26,18,,17,,15,18.2
18,CeeDee Lamb,DAL,9,WR7,18,21,,18,,16,19.2
19,Tyreek Hill,MIA,11,WR8,16,23,,23,,17,19.8
20,Aaron Jones,GB,14,RB11,22,22,,19,,19,20.2
21,Javonte Williams,DEN,9,RB12,23,16,,15,,24,20.8
22,Mark Andrews,BAL,10,TE2,20,25,,21,,23,21.2
23,Josh Allen,BUF,7,QB1,21,26,,26,,22,21.8
24,Saquon Barkley,NYG,9,RB13,27,15,,24,,21,22.4
25,Leonard Fournette,TB,11,RB14,19,20,,22,,25,23.2
26,Mike Evans,TB,11,WR9,28,28,,25,,27,27.2
27,Keenan Allen,LAC,8,WR10,24,32,,28,,28,28.6
28,A.J. Brown,PHI,7,WR11,33,31,,29,,26,29.6
29,Ezekiel Elliott,DAL,9,RB15,38,24,,35,,29,30
30,James Conner,ARI,13,RB16,25,27,,31,,31,30.8
31,Patrick Mahomes II,KC,8,QB2,29,39,,41,,32,32.4
32,Tee Higgins,CIN,10,WR12,30,37,,30,,33,33.4
33,Kyle Pitts,ATL,14,TE3,34,36,,34,,30,33.8
34,David Montgomery,CHI,14,RB17,41,34,,33,,38,35.6
35,Justin Herbert,LAC,8,QB3,36,40,,43,,34,36
36,Cam Akers,LAR,7,RB18,32,29,,27,,35,37
37,Michael Pittman Jr.,IND,14,WR13,31,33,,38,,39,37.8
38,Diontae Johnson,PIT,9,WR14,40,49,,36,,41,41.4
39,George Kittle,SF,9,TE4,43,48,,47,,36,41.6
40,Jaylen Waddle,MIA,11,WR15,39,52,,32,,43,41.8
41,Terry McLaurin,WAS,14,WR16,37,47,,44,,37,41.8
42,Travis Etienne Jr.,JAC,11,RB19,51,30,,40,,42,44
43,DJ Moore,CAR,13,WR17,35,41,,42,,45,44.2
44,Darren Waller,LV,6,TE5,42,50,,49,,40,44.6
45,DK Metcalf,SEA,11,WR18,46,54,,46,,47,45.8
46,Josh Jacobs,LV,6,RB20,53,43,,39,,48,45.8
47,Lamar Jackson,BAL,10,QB4,44,53,,53,,46,47
48,Elijah Mitchell,SF,9,RB21,65,42,,48,,55,51
49,Mike Williams,LAC,8,WR19,45,44,,45,,52,51.6
50,J.K. Dobbins,BAL,10,RB22,47,35,,80,,54,52.6
51,Breece Hall,NYJ,10,RB23,48,38,,37,,44,53
52,Antonio Gibson,WAS,14,RB24,59,51,,77,,50,54
53,Brandin Cooks,HOU,6,WR20,50,56,,51,,62,54
54,Kyler Murray,ARI,13,QB5,54,70,,68,,57,57.4
55,Chris Godwin,TB,11,WR21,60,60,,55,,63,58.2
56,Dalton Schultz,DAL,9,TE6,57,59,,67,,56,60
57,Joe Burrow,CIN,10,QB6,72,72,,64,,53,62
58,Courtland Sutton,DEN,9,WR22,55,46,,59,,51,62.6
59,Amari Cooper,CLE,9,WR23,67,83,,56,,58,62.8
60,Jalen Hurts,PHI,7,QB7,56,74,,73,,66,64.8
61,Jerry Jeudy,DEN,9,WR24,49,81,,61,,49,65.2
62,Marquise Brown,ARI,13,WR25,52,64,,50,,60,65.2
63,Amon-Ra St. Brown,DET,6,WR26,58,55,,52,,67,65.2
64,T.J. Hockenson,DET,6,TE7,64,78,,71,,61,66.8
65,Clyde Edwards-Helaire,KC,8,RB25,80,69,,62,,65,67
66,AJ Dillon,GB,14,RB26,94,45,,54,,68,67.2
67,Adam Thielen,MIN,7,WR27,73,67,,70,,70,68.6
68,Darnell Mooney,CHI,14,WR28,61,57,,58,,71,68.8
69,Allen Robinson II,LAR,7,WR29,74,58,,63,,59,69.4
70,Damien Harris,NE,10,RB27,90,85,,57,,75,72.6
71,Miles Sanders,PHI,7,RB28,77,68,,74,,72,75.2
72,Gabriel Davis,BUF,7,WR30,62,66,,60,,81,75.4
73,Dallas Goedert,PHI,7,TE8,79,86,,87,,74,76
74,Dak Prescott,DAL,9,QB8,68,80,,78,,88,76.4
75,Michael Thomas,NO,14,WR31,63,62,,75,,64,77
76,Hunter Renfrow,LV,6,WR32,75,99,,66,,86,79.4
77,Cordarrelle Patterson,ATL,14,RB29,83,76,,69,,83,79.8
78,Tom Brady,TB,11,QB9,69,91,,90,,78,80.4
79,JuJu Smith-Schuster,KC,8,WR33,76,71,,72,,69,80.6
80,Russell Wilson,DEN,9,QB10,78,93,,83,,73,81.4
81,Devin Singletary,BUF,7,RB30,71,65,,76,,91,81.6
82,Kareem Hunt,CLE,9,RB31,82,79,,84,,79,83.2
83,Elijah Moore,NYJ,10,WR34,97,89,,65,,90,83.4
84,Aaron Rodgers,GB,14,QB11,66,104,,104,,92,83.6
85,Tony Pollard,DAL,9,RB32,91,61,,86,,85,83.6
86,DeAndre Hopkins,ARI,13,WR35,95,84,,105,,77,85.2
87,DeVonta Smith,PHI,7,WR36,85,94,,79,,87,86.8
88,Rashaad Penny,SEA,11,RB33,107,73,,85,,93,87.2
89,Tyler Lockett,SEA,11,WR37,86,109,,82,,97,87.6
90,Zach Ertz,ARI,13,TE9,87,96,,96,,84,89
91,Matthew Stafford,LAR,7,QB12,93,101,,93,,98,90.4
92,Rashod Bateman,BAL,10,WR38,84,82,,81,,76,91.8
93,Chase Edmonds,MIA,11,RB34,105,63,,88,,94,93.2
94,Brandon Aiyuk,SF,9,WR39,103,98,,91,,95,94
95,Drake London,ATL,14,WR40,89,100,,92,,82,96.2
96,Dawson Knox,BUF,7,TE10,115,106,,111,,89,98.8
97,Robert Woods,TEN,6,WR41,116,95,,99,,106,101.4
98,Trey Lance,SF,9,QB13,101,103,,103,,102,102.4
99,Melvin Gordon III,DEN,9,RB35,123,87,,101,,103,104
100,Ken Walker III,SEA,11,RB36,121,90,,89,,80,105.6
101,Christian Kirk,JAC,11,WR42,104,102,,97,,107,106
102,Buffalo Bills,DST,7,DST1,70,135,,135,,123,106.4
103,Rhamondre Stevenson,NE,10,RB37,98,75,,95,,105,108.2
104,Chase Claypool,PIT,9,WR43,109,122,,106,,110,109.6
105,Justin Tucker,BAL,10,K1,81,148,,138,,122,111
106,Derek Carr,LV,6,QB14,113,107,,114,,111,111.8
107,Allen Lazard,GB,14,WR44,96,88,,116,,99,112.8
108,James Robinson,JAC,11,RB38,119,97,,124,,116,113
