"Rank","Player","Team","Bye","POS","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","Jonathan Taylor","IND","14","RB1","","1","1","","1","1.0"
"2","Christian McCaffrey","CAR","13","RB2","","4","2","","2","2.7"
"3","Austin Ekeler","LAC","8","RB3","","2","3","","4","3.0"
"4","Derrick Henry","TEN","6","RB4","","3","7","","3","4.3"
"5","Cooper Kupp","LAR","7","WR1","","5","5","","5","5.0"
"6","Justin Jefferson","MIN","7","WR2","","6","4","","7","5.7"
"7","Najee Harris","PIT","9","RB5","","7","6","","8","7.0"
"8","Dalvin Cook","MIN","7","RB6","","8","8","","6","7.3"
"9","Ja'Marr Chase","CIN","10","WR3","","9","9","","9","9.0"
"10","Joe Mixon","CIN","10","RB7","","10","11","","10","10.3"
"11","Davante Adams","LV","6","WR4","","11","13","","11","11.7"
"12","D'Andre Swift","DET","6","RB8","","14","10","","13","12.3"
"13","Stefon Diggs","BUF","7","WR5","","16","12","","14","14.0"
"14","Travis Kelce","KC","8","TE1","","17","14","","12","14.3"
"15","Nick Chubb","CLE","9","RB9","","15","19","","16","16.7"
"16","Alvin Kamara","NO","14","RB10","","18","15","","17","16.7"
"17","Javonte Williams","DEN","9","RB11","","12","17","","23","17.3"
"18","Deebo Samuel","SF","9","WR6","","13","18","","24","18.3"
"19","CeeDee Lamb","DAL","9","WR7","","21","20","","15","18.7"
"20","Saquon Barkley","NYG","9","RB12","","22","16","","18","18.7"
"21","Tyreek Hill","MIA","11","WR8","","19","24","","20","21.0"
"22","Aaron Jones","GB","14","RB13","","23","23","","19","21.7"
"23","Mark Andrews","BAL","10","TE2","","20","25","","22","22.3"
"24","Josh Allen","BUF","7","QB1","","26","22","","21","23.0"
"25","Leonard Fournette","TB","11","RB14","","25","21","","25","23.7"
"26","Mike Evans","TB","11","WR9","","29","27","","26","27.3"
"27","A.J. Brown","PHI","7","WR10","","27","29","","27","27.7"
"28","Cam Akers","LAR","7","RB15","","24","30","","34","29.3"
"29","Ezekiel Elliott","DAL","9","RB16","","34","26","","28","29.3"
"30","Keenan Allen","LAC","8","WR11","","28","31","","30","29.7"
"31","James Conner","ARI","13","RB17","","35","28","","29","30.7"
"32","Kyle Pitts","ATL","14","TE3","","31","36","","31","32.7"
"33","Tee Higgins","CIN","10","WR12","","30","37","","33","33.3"
"34","Patrick Mahomes II","KC","8","QB2","","38","33","","32","34.3"
"35","David Montgomery","CHI","14","RB18","","33","38","","35","35.3"
"36","Justin Herbert","LAC","8","QB3","","40","35","","36","37.0"
"37","Michael Pittman Jr.","IND","14","WR13","","42","32","","39","37.7"
"38","Breece Hall","NYJ","10","RB19","","39","40","","37","38.7"
"39","Travis Etienne Jr.","JAC","11","RB20","","46","34","","40","40.0"
"40","George Kittle","SF","9","TE4","","44","44","","38","42.0"
"41","Jaylen Waddle","MIA","11","WR14","","32","52","","45","43.0"
"42","Diontae Johnson","PIT","9","WR15","","37","51","","42","43.3"
"43","DJ Moore","CAR","13","WR16","","45","41","","44","43.3"
"44","Terry McLaurin","WAS","14","WR17","","43","47","","41","43.7"
"45","Josh Jacobs","LV","6","RB21","","36","48","","48","44.0"
"46","Mike Williams","LAC","8","WR18","","48","42","","50","46.7"
"47","DK Metcalf","SEA","11","WR19","","41","54","","47","47.3"
"48","Darren Waller","LV","6","TE5","","49","50","","43","47.3"
"49","Lamar Jackson","BAL","10","QB4","","50","46","","49","48.3"
"50","Elijah Mitchell","SF","9","RB22","","47","45","","54","48.7"
"51","Courtland Sutton","DEN","9","WR20","","67","43","","52","54.0"
"52","AJ Dillon","GB","14","RB23","","54","49","","63","55.3"
"53","J.K. Dobbins","BAL","10","RB24","","80","39","","51","56.7"
"54","Amon-Ra St. Brown","DET","6","WR21","","51","55","","67","57.7"
"55","Chris Godwin","TB","11","WR22","","52","63","","60","58.3"
"56","Kyler Murray","ARI","13","QB5","","61","58","","56","58.3"
"57","Brandin Cooks","HOU","6","WR23","","59","56","","62","59.0"
"58","Joe Burrow","CIN","10","QB6","","63","61","","55","59.7"
"59","Marquise Brown","ARI","13","WR24","","57","64","","59","60.0"
"60","Antonio Gibson","WAS","14","RB25","","87","53","","46","62.0"
"61","Darnell Mooney","CHI","14","WR25","","56","59","","71","62.0"
"62","Allen Robinson II","LAR","7","WR26","","75","57","","57","63.0"
"63","Dalton Schultz","DAL","9","TE6","","72","60","","61","64.3"
"64","Michael Thomas","NO","14","WR27","","60","65","","69","64.7"
"65","Amari Cooper","CLE","9","WR28","","55","84","","58","65.7"
"66","Jalen Hurts","PHI","7","QB7","","69","62","","66","65.7"
"67","Jerry Jeudy","DEN","9","WR29","","71","80","","53","68.0"
"68","T.J. Hockenson","DET","6","TE7","","68","73","","65","68.7"
"69","Gabriel Davis","BUF","7","WR30","","66","67","","76","69.7"
"70","Clyde Edwards-Helaire","KC","8","RB26","","73","76","","64","71.0"
"71","Damien Harris","NE","10","RB27","","53","91","","70","71.3"
"72","Dak Prescott","DAL","9","QB8","","64","68","","82","71.3"
"73","Adam Thielen","MIN","7","WR31","","79","69","","72","73.3"
"74","Devin Singletary","BUF","7","RB28","","65","72","","87","74.7"
"75","JuJu Smith-Schuster","KC","8","WR32","","81","71","","73","75.0"
"76","Miles Sanders","PHI","7","RB29","","85","74","","68","75.7"
"77","Cordarrelle Patterson","ATL","14","RB30","","70","83","","83","78.7"
"78","Elijah Moore","NYJ","10","WR33","","58","90","","89","79.0"
