player,team,pos,passing_yards,passing_tds,interceptions,rush_attempts,rushing_yards,rushing_tds,receptions,rec_yards,rec_tds
Josh Allen,BUF,QB,4451,27,13,133,754,13,0,0,0
Patrick Mahomes,KAN,QB,5760,34,6,52,297,3,0,0,0
Jalen Hurts,PHI,QB,4010,19,10,184,1019,13,0,0,0
Joe Burrow,CIN,QB,5525,37,15,24,136,2,0,0,0
Lamar Jackson,BAL,QB,2902,31,4,190,1052,6,0,0,0
Justin Fields,CHI,QB,4304,17,24,189,991,4,0,0,0
Justin Herbert,LAC,QB,4329,33,12,48,272,2,0,0,0
Trevor Lawrence,JAC,QB,5359,17,26,91,470,3,0,0,0
Dak Prescott,DAL,QB,4560,27,9,47,255,3,0,0,0
Daniel Jones,NYG,QB,4080,31,16,69,381,3,0,0,0
Tua Tagovailoa,MIA,QB,4514,26,16,38,201,5,0,0,0
Kirk Cousins,MIN,QB,4498,32,6,13,78,0,0,0,0
Deshaun Watson,CLE,QB,3795,25,4,63,355,1,0,0,0
Trey Lance,SFO,QB,2639,23,9,127,710,4,0,0,0
Kyler Murray,ARI,QB,3229,18,11,84,487,4,0,0,0
Jared Goff,DET,QB,4336,20,14,7,35,1,0,0,0
Geno Smith,SEA,QB,3168,23,4,34,196,4,0,0,0
Derek Carr,NOR,QB,3711,20,7,14,76,2,0,0,0
Russell Wilson,DEN,QB,3060,22,4,45,251,1,0,0,0
Aaron Rodgers,GNB,QB,3389,21,2,27,147,0,0,0,0
Matthew Stafford,LAR,QB,3504,20,11,11,69,0,0,0,0
Kenny Pickett,PIT,QB,3137,18,13,25,143,1,0,0,0
Mac Jones,NWE,QB,3127,19,10,20,106,0,0,0,0
Ryan Tannehill,TEN,QB,2332,20,4,30,160,4,0,0,0
Sam Howell,WAS,QB,2946,17,11,22,123,0,0,0,0
Brock Purdy,SFO,QB,2878,16,10,22,117,1,0,0,0
Jimmy Garoppolo,LVR,QB,2533,17,8,6,40,1,0,0,0
Bryce Young,FA,QB,2498,14,10,20,114,0,0,0,0
C.J Stroud,FA,QB,2347,13,9,17,102,0,0,0,0
Desmond Ridder,ATL,QB,2342,12,9,17,95,0,0,0,0
Jameis Winston,NOR,QB,2143,13,12,18,104,0,0,0,0
Jordan Love,GNB,QB,1996,10,8,15,79,0,0,0,0
Matt Ryan,FA,QB,1830,10,5,10,62,0,0,0,0
Carson Wentz,FA,QB,1599,10,2,17,90,0,0,0,0
Baker Mayfield,TB,QB,1552,8,8,10,57,0,0,0,0
Will Levis,FA,QB,1477,9,5,12,60,0,0,0,0
Zach Wilson,NYJ,QB,1197,4,6,18,96,1,0,0,0
Jarrett Stidham,DEN,QB,1160,7,4,9,52,0,0,0,0
Jacoby Brissett,WAS,QB,966,6,2,13,74,0,0,0,0
Anthony Richardson,FA,QB,1010,5,3,7,43,0,0,0,0
Davis Mills,HOU,QB,908,5,2,2,15,0,0,0,0
Malik Willis,TEN,QB,866,4,2,6,36,0,0,0,0
Andy Dalton,CAR,QB,828,4,2,2,18,0,0,0,0
Mitchell Trubisky,PIT,QB,693,3,2,7,42,1,0,0,0
Marcus Mariota,PHI,QB,620,3,1,15,86,0,0,0,0
Christian McCaffrey,SFO,RB,0,0,0,299,1314,8,114,1059,3
Jonathan Taylor,IND,RB,0,0,0,329,1787,16,37,340,2
Austin Ekeler,LAC,RB,0,0,0,205,906,12,69,615,8
Saquon Barkley,NYG,RB,0,0,0,318,1225,3,79,506,3
Kenneth Walker III,SEA,RB,0,0,0,293,1212,8,54,434,1
Josh Jacobs,LVR,RB,0,0,0,254,993,10,67,402,0
Derrick Henry,TEN,RB,0,0,0,313,1313,13,24,204,0
Travis Etienne Jr.,JAC,RB,0,0,0,270,1125,6,47,380,0
Breece Hall,NYJ,RB,0,0,0,264,1123,7,49,405,1
Nick Chubb,CLE,RB,0,0,0,259,1340,9,21,202,1
Rhamondre Stevenson,NWE,RB,0,0,0,256,1271,10,29,240,0
Javonte Williams,DEN,RB,0,0,0,216,997,4,46,363,3
Najee Harris,PIT,RB,0,0,0,232,916,5,55,367,2
Joe Mixon,CIN,RB,0,0,0,222,896,9,31,242,2
Tony Pollard,DAL,RB,0,0,0,175,961,3,53,450,0
D'Andre Swift,DET,RB,0,0,0,150,624,4,61,448,2
Dalvin Cook,MIN,RB,0,0,0,259,1221,6,35,234,0
Aaron Jones,GNB,RB,0,0,0,159,733,4,46,343,5
Dameon Pierce,HOU,RB,0,0,0,218,907,6,39,315,0
Alvin Kamara,NOR,RB,0,0,0,204,741,3,39,383,3
James Conner,ARI,RB,0,0,0,161,573,10,28,278,2
J.K. Dobbins,BAL,RB,0,0,0,151,943,11,20,138,0
Cam Akers,LAR,RB,0,0,0,261,1087,3,19,229,1
Rachaad White,TB,RB,0,0,0,190,809,5,35,281,1
David Montgomery,DET,RB,0,0,0,192,766,5,39,274,0
Miles Sanders,CAR,RB,0,0,0,200,1103,0,38,225,0
A.J. Dillon,GNB,RB,0,0,0,171,700,4,32,286,2
Tyler Allgeier,ATL,RB,0,0,0,171,738,5,33,263,1
Leonard Fournette,FA,RB,0,0,0,114,523,4,43,305,1
James Cook,BUF,RB,0,0,0,163,716,5,29,255,1
Antonio Gibson,WAS,RB,0,0,0,168,667,4,26,184,2
Brian Robinson Jr.,WAS,RB,0,0,0,165,690,4,29,230,0
Ezekiel Elliott,FA,RB,0,0,0,143,606,6,27,176,0
Isiah Pacheco,KAN,RB,0,0,0,146,645,4,28,237,1
Kareem Hunt,CLE,RB,0,0,0,103,501,6,30,234,0
Khalil Herbert,CHI,RB,0,0,0,186,787,3,26,168,0
Damien Harris,BUF,RB,0,0,0,123,602,8,10,83,0
Jamaal Williams,NOR,RB,0,0,0,177,672,2,29,175,0
Devin Singletary,HOU,RB,0,0,0,124,596,4,26,149,0
Bijan Robinson,FA,RB,0,0,0,128,577,4,24,187,0
Jerick McKinnon,KAN,RB,0,0,0,132,552,3,23,199,1
