Rank,Player,Team,Pos,RTSports,Fantrax,Sleeper,AVG
1,Jonathan Taylor,IND,RB,1.0,1.0,1.0,1.0
2,Christian McCaffrey,CAR,RB,2.0,4.0,2.0,2.7
3,Austin Ekeler,LAC,RB,3.0,2.0,4.0,3.0
4,Derrick Henry,TEN,RB,7.0,3.0,3.0,4.3
5,Cooper Kupp,LAR,WR,5.0,5.0,5.0,5.0
6,Justin Jefferson,MIN,WR,4.0,6.0,7.0,5.7
7,Najee Harris,PIT,RB,6.0,7.0,8.0,7.0
8,Dalvin Cook,MIN,RB,8.0,8.0,6.0,7.3
9,Ja'Marr Chase,CIN,WR,9.0,9.0,9.0,9.0
10,Joe Mixon,CIN,RB,11.0,10.0,10.0,10.3
11,Davante Adams,LV,WR,13.0,11.0,11.0,11.7
12,D'Andre Swift,DET,RB,10.0,14.0,13.0,12.3
13,Stefon Diggs,BUF,WR,12.0,16.0,14.0,14.0
14,Travis Kelce,KC,TE,14.0,17.0,12.0,14.3
15,Nick Chubb,CLE,RB,19.0,15.0,16.0,16.7
16,Alvin Kamara,NO,RB,15.0,18.0,17.0,16.7
17,Javonte Williams,DEN,RB,17.0,12.0,23.0,17.3
18,Deebo Samuel,SF,WR,18.0,13.0,24.0,18.3
19,CeeDee Lamb,DAL,WR,20.0,21.0,15.0,18.7
20,Saquon Barkley,NYG,RB,16.0,22.0,18.0,18.7
21,Tyreek Hill,MIA,WR,24.0,19.0,20.0,21.0
22,Aaron Jones,GB,RB,23.0,23.0,19.0,21.7
23,Mark Andrews,BAL,TE,25.0,20.0,22.0,22.3
24,Josh Allen,BUF,QB,22.0,26.0,21.0,23.0
25,Leonard Fournette,TB,RB,21.0,25.0,25.0,23.7
26,Mike Evans,TB,WR,27.0,29.0,26.0,27.3
27,A.J. Brown,PHI,WR,29.0,27.0,27.0,27.7
28,Cam Akers,LAR,RB,30.0,24.0,34.0,29.3
29,Ezekiel Elliott,DAL,RB,26.0,34.0,28.0,29.3
30,Keenan Allen,LAC,WR,31.0,28.0,30.0,29.7
31,James Conner,ARI,RB,28.0,35.0,29.0,30.7
32,Kyle Pitts,ATL,TE,36.0,31.0,31.0,32.7
33,Tee Higgins,CIN,WR,37.0,30.0,33.0,33.3
34,Patrick Mahomes II,KC,QB,33.0,38.0,32.0,34.3
35,David Montgomery,CHI,RB,38.0,33.0,35.0,35.3
36,Justin Herbert,LAC,QB,35.0,40.0,36.0,37.0
37,Michael Pittman Jr.,IND,WR,32.0,42.0,39.0,37.7
38,Breece Hall,NYJ,RB,40.0,39.0,37.0,38.7
39,Travis Etienne Jr.,JAC,RB,34.0,46.0,40.0,40.0
40,George Kittle,SF,TE,44.0,44.0,38.0,42.0
41,Jaylen Waddle,MIA,WR,52.0,32.0,45.0,43.0
42,Diontae Johnson,PIT,WR,51.0,37.0,42.0,43.3
43,DJ Moore,CAR,WR,41.0,45.0,44.0,43.3
44,Terry McLaurin,WAS,WR,47.0,43.0,41.0,43.7
45,Josh Jacobs,LV,RB,48.0,36.0,48.0,44.0
46,Mike Williams,LAC,WR,42.0,48.0,50.0,46.7
47,DK Metcalf,SEA,WR,54.0,41.0,47.0,47.3
48,Darren Waller,LV,TE,50.0,49.0,43.0,47.3
49,Lamar Jackson,BAL,QB,46.0,50.0,49.0,48.3
50,Elijah Mitchell,SF,RB,45.0,47.0,54.0,48.7
51,Courtland Sutton,DEN,WR,43.0,67.0,52.0,54.0
