PlayerID,Player,Position,Tm,PassingYds,PassingAirYards,PassingYAC,PassingTD,Sacks,SackYards,Int,PassingAtt,Cmp,PassingFirstDown,PassingEPA,Passing2PC,RushingAtt,RushingYds,RushingTD,RushingFirstDown,RushingEPA,Rushing2PC,Receptions,Targets,ReceivingYards,ReceivingTDs,ReceivingAirYards,ReceivingYAC,ReceivingFirstDown,ReceivingEPA,Receiving2PC,TargetShare,AirYardsShare,WOPR,SpecialTeamsTD,FumblesLost,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
00-0019596,Tom Brady,QB,TB,351,356,178,1,0,0,0,52,35,17,12.98959,1,3,-3,0,0,-3.3360364,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,19.74,19.74,19.74
00-0023459,Aaron Rodgers,QB,GB,222,291,150,2,2,15,0,39,25,15,2.8204906,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,16.88,16.88,16.88
00-0024243,Marcedes Lewis,TE,GB,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,2,1,2,0,1,1.0439267,0,0.025641026,0.006872852,0.043272536,0,0,6.2,7.2,6.7
00-0026143,Matt Ryan,QB,IND,251,260,113,0,6,51,2,41,26,14,-11.321442,0,1,1,0,0,-1.3422701,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,6.14,6.14,6.14
00-0026498,Matthew Stafford,QB,LA,308,322,172,1,5,35,1,42,28,9,-14.383166,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,2,10.32,10.32,10.32
00-0027942,A.J. Green,WR,ARI,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,3,5,20,0,79,3,2,1.5688962,0,0.13157895,0.26962456,0.38610563,0,0,2.0,5.0,3.5
00-0027966,Mark Ingram,RB,NO,0,0,0,0,0,0,0,0,0,0,0.0,0,9,16,0,0,-5.5599804,1,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,3.6,3.6,3.6
00-0027973,Andy Dalton,QB,NO,187,179,111,1,1,6,1,24,16,8,0.014495567,0,7,4,0,1,-1.3530995,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,9.88,9.88,9.88
00-0027981,Kyle Rudolph,TE,TB,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,-0.7902157,0,0.02,0.0,0.03,0,0,0.0,0.0,0.0
00-0028002,Randall Cobb,WR,GB,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7,13,99,0,122,60,4,3.9597702,0,0.33333334,0.419244,0.7934708,0,0,9.9,16.9,13.4
00-0028986,Case Keenum,QB,BUF,8,32,5,0,0,0,0,5,2,0,-3.8931332,0,2,-2,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.12,0.12,0.12
00-0029239,Brandon Bolden,RB,LV,0,0,0,0,0,0,0,0,0,0,0.0,0,1,5,0,0,-0.3440588,0,3,3,29,0,15,14,1,1.55607,0,0.11111111,0.05050505,0.2020202,0,0,3.4,6.4,4.9
00-0029263,Russell Wilson,QB,DEN,274,366,176,0,4,24,2,39,21,11,-13.004933,0,4,22,0,1,1.7715778,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,9.16,9.16,9.16
00-0029293,Marvin Jones,WR,JAX,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7,11,104,0,131,33,5,5.374885,0,0.25,0.31042653,0.59229857,0,0,10.4,17.4,13.9
00-0029604,Kirk Cousins,QB,MIN,296,185,147,1,1,7,1,41,32,17,10.9213295,1,4,4,1,2,0.18590364,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,22.24,22.24,22.24
00-0029701,Ryan Tannehill,QB,TEN,181,234,73,1,5,45,0,25,15,6,-0.58351386,0,3,3,0,0,-1.7709284,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,11.54,11.54,11.54
00-0029892,Kyle Juszczyk,FB,SF,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2,2,27,0,0,27,1,3.2971606,0,0.06666667,0.0,0.1,0,0,2.7,4.7,3.7
00-0030035,Adam Thielen,WR,MIN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,4,7,27,0,37,8,2,-4.1227064,0,0.17948718,0.22981367,0.43010032,0,0,2.7,6.7,4.7
00-0030061,Zach Ertz,TE,ARI,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,6,10,48,0,98,16,4,0.12513617,0,0.2631579,0.334471,0.62886655,0,0,4.8,10.8,7.8
00-0030108,Ryan Griffin,TE,CHI,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,1,0,0,1,0,-0.61684525,0,0.04761905,0.0,0.071428575,0,0,0.1,1.1,0.6
00-0030288,Rex Burkhead,RB,HOU,0,0,0,0,0,0,0,0,0,0,0.0,0,3,15,0,1,1.1727965,0,2,3,13,0,5,11,0,-2.2944727,0,0.125,0.03521127,0.21214789,0,0,2.8,4.8,3.8
00-0030431,Robert Woods,WR,TEN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,4,8,37,0,44,15,1,-2.0477123,0,0.3478261,0.21359223,0.6712537,0,0,3.7,7.7,5.7
00-0030506,Travis Kelce,TE,KC,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7,8,25,4,52,12,5,6.1534414,0,0.1904762,0.18978103,0.418561,0,0,26.5,33.5,30.0
00-0030565,Geno Smith,QB,SEA,268,294,76,3,3,23,0,25,16,9,8.826468,0,3,13,0,1,-1.5079118,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,24.02,24.02,24.02
00-0031236,Brandin Cooks,WR,HOU,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,4,6,20,0,27,20,0,-2.5171487,0,0.25,0.19014084,0.5080986,0,0,2.0,6.0,4.0
00-0031237,Teddy Bridgewater,QB,MIA,0,-4,0,0,0,0,0,1,0,0,-1.6111236,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
00-0031280,Derek Carr,QB,LV,241,308,102,2,2,18,0,30,19,6,6.783734,0,1,3,0,0,-0.30193418,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,17.94,17.94,17.94
00-0031345,Jimmy Garoppolo,QB,SF,253,235,143,2,2,9,0,30,18,12,18.338089,0,1,-1,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,18.02,18.02,18.02
00-0031376,Jerick McKinnon,RB,KC,0,0,0,0,0,0,0,0,0,0,0.0,0,8,53,0,3,1.6551051,0,2,3,19,0,4,17,1,0.114601865,0,0.071428575,0.01459854,0.117361836,0,0,7.2,9.2,8.2
00-0031381,Davante Adams,WR,LV,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,3,7,124,2,154,24,3,10.688492,0,0.25925925,0.5185185,0.75185186,0,0,24.4,27.4,25.9
00-0031408,Mike Evans,WR,TB,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,4,8,81,0,105,20,3,5.012932,0,0.16,0.30882353,0.45617646,0,0,8.1,12.1,10.1
00-0031428,Allen Robinson,WR,LA,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,3,5,12,0,36,10,0,-5.027956,0,0.11904762,0.105882354,0.25268906,0,0,1.2,4.2,2.7
00-0031484,Chris Manhertz,TE,JAX,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2,2,15,0,6,9,1,0.9477768,0,0.045454547,0.014218009,0.078134425,0,0,1.5,3.5,2.5
00-0031544,Amari Cooper,WR,CLE,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7,12,76,1,123,4,6,-0.08268193,0,0.375,0.41554055,0.85337836,0,0,13.6,20.6,17.1
00-0031549,Nelson Agholor,WR,NE,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,14,0,0,-3.8033519,0,0.04761905,0.07650273,0.12498049,0,0,0.0,0.0,0.0
00-0031588,Stefon Diggs,WR,BUF,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,8,11,102,1,118,68,5,4.948681,0,0.30555555,0.26106194,0.6410767,0,0,16.2,24.2,20.2
00-0031687,Raheem Mostert,RB,MIA,0,0,0,0,0,0,0,0,0,0,0.0,0,18,113,1,5,2.3410442,0,1,3,9,0,10,4,0,0.22040702,0,0.09375,0.045045044,0.17215653,0,0,18.2,19.2,18.7
00-0031690,Eric Tomlinson,TE,DEN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,14,0,0,-0.55429226,0,0.02631579,0.03763441,0.06581777,0,0,0.0,0.0,0.0
00-0031763,DeAndre Carter,WR,LAC,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2,2,9,0,2,7,1,0.783119,0,0.060606062,0.011299435,0.0988187,0,0,0.9,2.9,1.9
00-0031868,Damiere Byrd,WR,ATL,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,8,0,0,-0.7929752,0,0.041666668,0.037558686,0.08879108,0,0,0.0,0.0,0.0
00-0032058,Tevin Coleman,RB,SF,0,0,0,0,0,0,0,0,0,0,0.0,0,8,23,1,2,-2.7981791,0,3,3,44,1,24,20,2,5.2309036,0,0.1,0.10212766,0.22148935,0,0,18.7,21.7,20.2
00-0032063,Mike Davis,RB,BAL,0,0,0,0,0,0,0,0,0,0,0.0,0,1,3,0,0,-0.31833175,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.3,0.3,0.3
00-0032134,C.J. Uzomah,TE,NYJ,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2,2,12,0,5,7,0,-0.38727373,0,0.0952381,0.02538071,0.16062364,0,0,1.2,3.2,2.2
00-0032141,Geoff Swaim,TE,TEN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,5,0,5,0,0,0.21616876,0,0.04347826,0.024271844,0.08220768,0,0,0.5,1.5,1.0
