PlayerID,Player,Position,Tm,PassingYds,PassingAirYards,PassingYAC,PassingTD,Sacks,SackYards,Int,PassingAtt,Cmp,PassingFirstDown,PassingEPA,Passing2PC,RushingAtt,RushingYds,RushingTD,RushingFirstDown,RushingEPA,Rushing2PC,Receptions,Targets,ReceivingYards,ReceivingTDs,ReceivingAirYards,ReceivingYAC,ReceivingFirstDown,ReceivingEPA,Receiving2PC,TargetShare,AirYardsShare,WOPR,SpecialTeamsTD,FumblesLost,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
00-0019596,Tom Brady,QB,TB,212,305,87,1,2,17,1,27,18,9,1.0508536,0,2,-1,0,0,-1.4371675,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,10.38,10.38,10.38
00-0023459,Aaron Rodgers,QB,GB,195,190,134,0,4,33,1,34,22,9,-11.627544,0,1,-1,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,1,3.7,3.7,3.7
00-0026143,Matt Ryan,QB,IND,352,317,172,1,2,12,1,50,32,20,3.0047843,0,4,12,0,2,-4.417951,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,1,15.28,15.28,15.28
00-0026158,Joe Flacco,QB,NYJ,309,286,139,1,3,12,1,59,37,18,-7.1129165,0,1,0,0,0,-1.2306267,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,14.36,14.36,14.36
00-0026498,Matthew Stafford,QB,LA,240,239,124,1,7,49,3,41,29,14,-16.745453,0,1,2,0,1,0.1588079,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,7.8,7.8,7.8
00-0027942,A.J. Green,WR,ARI,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2,4,13,0,42,0,1,-2.8312566,0,0.11111111,0.15789473,0.27719298,0,0,1.3,3.3,2.3
00-0027944,Julio Jones,WR,TB,0,0,0,0,0,0,0,0,0,0,0.0,0,2,17,0,2,1.332969,0,3,5,69,0,110,15,2,2.7300653,0,0.18518518,0.36065573,0.5302368,0,0,8.6,11.6,10.1
00-0027966,Mark Ingram,RB,NO,0,0,0,0,0,0,0,0,0,0,0.0,0,4,22,0,2,2.264447,0,1,1,1,0,-6,7,0,-4.832686,0,0.03125,-0.020134227,0.03278104,0,1,0.3,1.3,0.8
00-0028002,Randall Cobb,WR,GB,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2,3,14,0,55,4,2,0.8892778,0,0.08571429,0.26190478,0.31190476,0,0,1.4,3.4,2.4
00-0029239,Brandon Bolden,RB,LV,0,0,0,0,0,0,0,0,0,0,0.0,0,3,7,0,0,-2.0711179,0,2,2,21,1,13,8,1,2.5430968,0,0.057142857,0.039156627,0.11312392,0,0,8.8,10.8,9.8
00-0029263,Russell Wilson,QB,DEN,340,275,230,1,2,10,0,42,29,13,15.161885,0,1,2,0,0,-0.43221655,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,17.8,17.8,17.8
00-0029293,Marvin Jones,WR,JAX,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,4,6,38,0,101,3,3,2.2841702,0,0.15789473,0.27823693,0.43160793,0,0,3.8,7.8,5.8
00-0029604,Kirk Cousins,QB,MIN,277,164,152,2,1,8,0,32,23,12,9.272199,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,19.08,19.08,19.08
00-0029701,Ryan Tannehill,QB,TEN,266,296,103,2,1,0,0,33,20,13,7.819076,0,2,7,0,1,1.437251,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,19.34,19.34,19.34
00-0029892,Kyle Juszczyk,FB,SF,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,2,0,0,7,0,0,-2.384868,0,0.07692308,0.033653848,0.1389423,0,0,0.0,0.0,0.0
00-0030035,Adam Thielen,WR,MIN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,3,4,36,0,27,12,2,0.49746558,0,0.12903225,0.16666667,0.31021506,0,0,3.6,6.6,5.1
00-0030061,Zach Ertz,TE,ARI,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2,4,14,1,22,4,1,1.1358529,1,0.11111111,0.082706764,0.22456141,0,0,9.4,11.4,10.4
00-0030068,Marquise Goodwin,WR,SEA,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2,2,22,0,22,0,1,1.2333949,0,0.074074075,0.16296296,0.22518519,0,0,2.2,4.2,3.2
00-0030108,Ryan Griffin,TE,CHI,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,2,0,0,29,0,0,-1.0381559,0,0.11764706,0.17901234,0.30177924,0,0,0.0,0.0,0.0
00-0030279,Keenan Allen,WR,LAC,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,4,4,66,0,52,14,2,4.2673817,0,0.11764706,0.2212766,0.3313642,0,0,6.6,10.6,8.6
00-0030288,Rex Burkhead,RB,HOU,0,0,0,0,0,0,0,0,0,0,0.0,0,14,40,0,1,-4.0993485,0,5,8,30,0,3,30,1,-1.5441989,0,0.22222222,0.011406845,0.34131813,0,0,7.0,12.0,9.5
00-0030431,Robert Woods,WR,TEN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,2,13,0,30,0,1,-0.16042395,0,0.06451613,0.10344828,0.169188,0,0,1.3,2.3,1.8
00-0030506,Travis Kelce,TE,KC,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,8,9,121,1,95,34,7,11.62587,0,0.23076923,0.3125,0.56490386,0,0,18.1,26.1,22.1
00-0030565,Geno Smith,QB,SEA,195,144,89,2,2,18,0,28,23,9,8.274174,0,6,14,0,1,-2.8795137,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,17.2,17.2,17.2
00-0030578,Cordarrelle Patterson,RB,ATL,0,0,0,0,0,0,0,0,0,0,0.0,0,22,120,1,10,2.395266,0,3,5,16,0,18,10,1,-0.33159593,0,0.15625,0.06382979,0.27905586,0,0,19.6,22.6,21.1
00-0030874,Damien Williams,RB,ATL,0,0,0,0,0,0,0,0,0,0,0.0,0,2,2,0,0,-1.1297847,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.2,0.2,0.2
00-0031236,Brandin Cooks,WR,HOU,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7,12,82,0,131,11,4,-1.1666815,0,0.33333334,0.49809885,0.84866923,0,0,8.2,15.2,11.7
00-0031260,Logan Thomas,TE,WAS,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,3,6,45,0,70,19,2,3.3000865,0,0.14634146,0.2413793,0.3884777,0,0,4.5,7.5,6.0
00-0031273,Cameron Brate,TE,TB,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,3,7,0,15,1,1,-1.4454918,0,0.11111111,0.04918033,0.2010929,0,0,0.7,1.7,1.2
00-0031280,Derek Carr,QB,LV,295,341,126,2,5,29,3,37,22,17,-4.545959,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,13.8,13.8,13.8
00-0031325,Sammy Watkins,WR,GB,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,3,3,18,0,2,16,2,1.1928409,0,0.08571429,0.00952381,0.1352381,0,0,1.8,4.8,3.3
00-0031376,Jerick McKinnon,RB,KC,0,0,0,0,0,0,0,0,0,0,0.0,0,4,22,0,1,-0.43029585,0,3,4,27,0,-3,41,1,1.3778272,0,0.102564104,-0.009868421,0.14693826,0,0,4.9,7.9,6.4
00-0031381,Davante Adams,WR,LV,0,0,0,0,1,10,0,0,0,0,-1.8045641,0,0,0,0,0,0.0,0,10,17,141,1,177,62,8,5.1927133,0,0.4857143,0.53313255,1.1017642,0,0,20.1,30.1,25.1
00-0031382,Jarvis Landry,WR,NO,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7,9,114,0,123,15,4,4.501336,0,0.28125,0.41275167,0.7108012,0,0,11.4,18.4,14.9
00-0031384,Richard Rodgers,TE,LAC,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,1,0,0,-0.22918983,0,0.029411765,0.004255319,0.04709637,0,0,0.0,0.0,0.0
00-0031408,Mike Evans,WR,TB,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,5,7,71,1,90,10,5,2.6532602,0,0.25925925,0.29508197,0.5954463,0,0,13.1,18.1,15.6
00-0031428,Allen Robinson,WR,LA,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,2,12,0,28,0,0,-2.1046882,0,0.048780486,0.117154814,0.1551791,0,0,1.2,2.2,1.7
00-0031503,Jameis Winston,QB,NO,269,297,62,2,4,35,0,34,23,12,1.2357728,1,2,9,0,0,-0.9775296,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,21.66,21.66,21.66
00-0031544,Amari Cooper,WR,CLE,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,3,6,17,0,63,6,0,-4.6980705,0,0.2,0.27753305,0.49427313,0,0,1.7,4.7,3.2
00-0031547,DeVante Parker,WR,NE,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,2,9,0,26,5,1,-5.299232,0,0.06666667,0.09318996,0.16523297,0,0,0.9,1.9,1.4
00-0031549,Nelson Agholor,WR,NE,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,3,5,28,0,52,23,1,-1.82189,0,0.16666667,0.18637992,0.38046595,0,1,0.8,3.8,2.3
00-0031588,Stefon Diggs,WR,BUF,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,8,9,122,1,99,27,5,10.8274555,0,0.29032257,0.43612334,0.7407702,0,0,18.2,26.2,22.2
00-0031610,Darren Waller,TE,LV,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,4,6,79,0,83,27,4,0.025576882,0,0.17142858,0.25,0.43214285,0,0,7.9,11.9,9.9
00-0031687,Raheem Mostert,RB,MIA,0,0,0,0,0,0,0,0,0,0,0.0,0,5,16,0,2,-0.5766638,0,1,1,16,0,2,14,1,0.9071438,0,0.032258064,0.007692308,0.053771712,0,0,3.2,4.2,3.7
