RK,Player,Team,Position,AVG,MIN,MAX,STD DEV
1,Christian McCaffrey,SF,RB,1.7,1,4,1.0
2,Justin Jefferson,MIN,WR,4.2,1,7,2.4
3,Austin Ekeler,LAC,RB,4.2,2,9,2.0
4,Jonathan Taylor,IND,RB,5.3,2,11,3.1
5,Ja'Marr Chase,CIN,WR,6.4,2,10,3.5
6,Travis Kelce,KC,TE,8.2,4,13,2.3
7,Saquon Barkley,NYG,RB,8.5,4,18,4.2
8,Kenneth Walker III,SEA,RB,9.9,5,17,4.2
9,Cooper Kupp,LAR,WR,11.5,5,19,4.2
10,Nick Chubb,CLE,RB,13.4,7,21,3.9
11,Tyreek Hill,MIA,WR,13.5,5,24,4.9
12,Davante Adams,LV,WR,14.3,6,21,4.2
13,Derrick Henry,TEN,RB,15.0,6,28,7.0
14,Josh Jacobs,LV,RB,15.1,6,26,5.0
15,Travis Etienne Jr.,JAC,RB,15.2,8,24,4.7
16,CeeDee Lamb,DAL,WR,15.3,6,23,4.3
17,Breece Hall,NYJ,RB,17.7,4,34,8.7
18,Stefon Diggs,BUF,WR,18.1,7,24,5.3
19,A.J. Brown,PHI,WR,18.4,11,24,4.4
20,Amon-Ra St. Brown,DET,WR,22.6,15,30,3.7
21,Rhamondre Stevenson,NE,RB,23.0,14,37,7.3
22,Jaylen Waddle,MIA,WR,23.2,16,27,3.3
23,Najee Harris,PIT,RB,26.1,17,38,7.5
24,Tony Pollard,DAL,RB,26.9,17,35,5.4
25,Garrett Wilson,NYJ,WR,28.0,20,38,4.6
26,Tee Higgins,CIN,WR,28.3,21,39,4.3
27,Mark Andrews,BAL,TE,29.3,20,52,11.3
28,DeVonta Smith,PHI,WR,30.8,23,38,4.2
29,Josh Allen,BUF,QB,33.9,20,45,6.0
30,D'Andre Swift,DET,RB,34.4,17,51,8.4
31,DK Metcalf,SEA,WR,34.4,26,49,5.0
32,Chris Olave,NO,WR,35.3,21,43,6.8
33,Dalvin Cook,MIN,RB,35.6,18,58,10.8
34,Patrick Mahomes II,KC,QB,36.0,22,40,5.8
35,T.J. Hockenson,MIN,TE,36.9,32,62,8.7
36,Deebo Samuel,SF,WR,36.9,24,58,7.3
37,Joe Mixon,CIN,RB,38.1,22,65,14.0
38,Jalen Hurts,PHI,QB,38.6,21,45,8.0
39,Aaron Jones,GB,RB,39.4,28,48,5.6
40,Amari Cooper,CLE,WR,43.3,34,56,6.7
41,Dameon Pierce,HOU,RB,46.0,33,85,13.6
42,Chris Godwin,TB,WR,46.4,28,60,9.8
43,Javonte Williams,DEN,RB,46.8,22,78,16.6
44,DJ Moore,CHI,WR,47.8,38,67,8.6
45,J.K. Dobbins,BAL,RB,48.1,37,67,7.8
46,Cam Akers,LAR,RB,49.1,22,71,12.1
47,Christian Watson,GB,WR,49.4,32,65,9.4
