RK,Player,Team,Position,AVG,MIN,MAX,STD DEV
1,Christian McCaffrey,SF,RB,1.1,1,2,0.3
2,Austin Ekeler,LAC,RB,2.5,2,5,0.9
3,Jonathan Taylor,IND,RB,3.2,2,7,1.2
4,Saquon Barkley,NYG,RB,5.7,3,12,2.6
5,Justin Jefferson,MIN,WR,6.5,6,10,1.4
6,Kenneth Walker III,SEA,RB,7.7,5,17,3.1
7,Travis Kelce,KC,TE,9.0,9,9,0.0
8,Ja'Marr Chase,CIN,WR,9.2,6,10,1.6
9,Cooper Kupp,LAR,WR,13.2,11,22,3.1
10,Tyreek Hill,MIA,WR,14.5,11,23,3.8
11,Nick Chubb,CLE,RB,14.7,5,25,7.3
12,Travis Etienne Jr.,JAC,RB,14.8,7,25,5.2
13,Breece Hall,NYJ,RB,15.5,4,35,7.9
14,CeeDee Lamb,DAL,WR,15.7,11,22,3.8
15,Josh Jacobs,LV,RB,15.9,5,27,5.3
16,Davante Adams,LV,WR,15.9,11,23,3.1
17,Rhamondre Stevenson,NE,RB,17.3,7,26,5.0
18,Derrick Henry,TEN,RB,17.9,5,32,10.6
19,Stefon Diggs,BUF,WR,19.0,13,23,3.6
20,A.J. Brown,PHI,WR,20.3,13,26,4.1
21,Amon-Ra St. Brown,DET,WR,22.2,20,26,1.7
22,Mark Andrews,BAL,TE,24.7,19,51,10.9
23,Garrett Wilson,NYJ,WR,26.0,14,34,5.2
24,Najee Harris,PIT,RB,26.3,18,35,5.6
25,Jaylen Waddle,MIA,WR,27.2,17,33,3.1
26,T.J. Hockenson,MIN,TE,27.9,19,30,4.3
27,Tee Higgins,CIN,WR,27.9,22,42,5.0
28,Tony Pollard,DAL,RB,28.4,18,38,5.3
29,DeVonta Smith,PHI,WR,30.5,24,37,3.6
30,D'Andre Swift,DET,RB,30.6,18,41,6.7
31,Javonte Williams,DEN,RB,32.3,12,49,12.7
32,DK Metcalf,SEA,WR,32.9,26,42,4.0
33,Joe Mixon,CIN,RB,33.6,16,56,13.1
34,Aaron Jones,GB,RB,35.6,27,41,4.3
35,Dalvin Cook,MIN,RB,36.1,21,48,6.9
36,Chris Olave,NO,WR,36.7,23,46,6.7
37,Josh Allen,BUF,QB,37.1,36,45,2.5
38,Chris Godwin,TB,WR,38.2,26,53,6.5
39,Deebo Samuel,SF,WR,38.6,28,58,6.7
40,Patrick Mahomes II,KC,QB,40.7,36,45,2.4
41,Jalen Hurts,PHI,QB,43.4,36,45,2.8
42,Dameon Pierce,HOU,RB,45.3,35,73,9.3
43,Drake London,ATL,WR,46.3,29,61,7.8
44,Amari Cooper,CLE,WR,47.9,37,58,7.7
45,Keenan Allen,LAC,WR,48.1,34,65,9.2
46,Kyle Pitts,ATL,TE,49.3,30,67,8.5
47,DeAndre Hopkins,ARI,WR,49.3,39,61,5.7
48,Michael Pittman Jr.,IND,WR,49.6,42,63,7.3
49,J.K. Dobbins,BAL,RB,50.4,35,70,9.4
50,Alvin Kamara,NO,RB,51.9,44,73,7.6
51,DJ Moore,CHI,WR,52.1,39,66,7.6
52,Joe Burrow,CIN,QB,52.7,50,68,6.1
53,Cam Akers,LAR,RB,53.1,32,74,12.0
54,James Conner,ARI,RB,53.5,41,73,8.8
55,Christian Watson,GB,WR,57.3,39,76,9.8
56,Mike Williams,LAC,WR,57.6,39,72,9.8
57,Rachaad White,TB,RB,58.0,48,81,10.3
58,George Kittle,SF,TE,58.1,51,89,13.0
59,Terry McLaurin,WAS,WR,62.3,53,75,7.6
60,Jerry Jeudy,DEN,WR,63.5,53,76,7.4
