RK,Player,Team,Position,AVG,Min,Max
1,Jonathan Taylor,IND ,RB,1.6,1.0,2.0
2,Christian McCaffrey,CAR ,RB,2.6,1.0,7.0
3,Justin Jefferson,MIN ,WR,3.4,1.0,5.0
4,Cooper Kupp,LAR ,WR,4.6,3.0,7.0
5,Ja'Marr Chase,CIN ,WR,5.0,3.0,6.0
6,Dalvin Cook,MIN ,RB,5.6,4.0,8.0
7,Austin Ekeler,LAC ,RB,6.6,3.0,10.0
8,Stefon Diggs,BUF ,WR,9.6,7.0,13.0
9,Derrick Henry,TEN ,RB,11.0,5.0,17.0
10,Najee Harris,PIT ,RB,11.2,7.0,15.0
11,Davante Adams,LV ,WR,11.4,8.0,16.0
12,D'Andre Swift,DET ,RB,12.4,9.0,15.0
13,Joe Mixon,CIN ,RB,12.8,8.0,16.0
14,CeeDee Lamb,DAL ,WR,14.6,11.0,19.0
15,Saquon Barkley,NYG ,RB,15.4,9.0,28.0
16,Travis Kelce,KC ,TE,16.8,9.0,25.0
17,Alvin Kamara,NO ,RB,18.0,17.0,19.0
18,A.J. Brown,PHI ,WR,19.6,13.0,32.0
19,Javonte Williams,DEN ,RB,21.6,16.0,28.0
20,Deebo Samuel,SF ,WR,24.0,19.0,31.0
21,Aaron Jones,GB ,RB,24.6,12.0,39.0
22,Leonard Fournette,TB ,RB,24.6,19.0,30.0
23,Mark Andrews,BAL ,TE,26.4,21.0,35.0
24,Nick Chubb,CLE ,RB,26.6,18.0,38.0
25,Mike Williams,LAC ,WR,26.8,17.0,34.0
26,Michael Pittman Jr.,IND ,WR,27.2,20.0,35.0
27,James Conner,ARI ,RB,27.6,22.0,32.0
28,Mike Evans,TB ,WR,28.6,17.0,37.0
29,Kyle Pitts,ATL ,TE,29.2,24.0,34.0
30,Tyreek Hill,MIA ,WR,29.6,23.0,41.0
31,Tee Higgins,CIN ,WR,30.6,25.0,45.0
32,Josh Allen,BUF ,QB,31.2,20.0,36.0
33,Travis Etienne Jr.,JAC ,RB,32.6,28.0,39.0
34,Cam Akers,LAR ,RB,35.2,27.0,51.0
35,Keenan Allen,LAC ,WR,35.2,31.0,38.0
36,DJ Moore,CAR ,WR,37.4,25.0,58.0
37,Jaylen Waddle,MIA ,WR,38.2,30.0,45.0
38,Courtland Sutton,DEN ,WR,39.4,19.0,62.0
39,Lamar Jackson,BAL ,QB,40.6,23.0,52.0
40,Breece Hall,NYJ ,RB,42.0,27.0,56.0
41,Terry McLaurin,WAS ,WR,43.4,38.0,52.0
42,Patrick Mahomes II,KC ,QB,44.0,22.0,66.0
43,Ezekiel Elliott,DAL ,RB,46.2,33.0,64.0
44,AJ Dillon,GB ,RB,48.2,36.0,61.0
45,Justin Herbert,LAC ,QB,48.6,21.0,66.0
46,Diontae Johnson,PIT ,WR,49.0,39.0,58.0
47,Gabriel Davis,BUF ,WR,49.0,40.0,59.0
48,Michael Thomas,NO ,WR,51.8,43.0,69.0
49,George Kittle,SF ,TE,53.0,46.0,58.0
50,J.K. Dobbins,BAL ,RB,53.4,40.0,74.0
51,Brandin Cooks,HOU ,WR,53.8,42.0,73.0
52,Darren Waller,LV ,TE,56.2,47.0,72.0
53,Rashod Bateman,BAL ,WR,57.6,41.0,74.0
54,Kyler Murray,ARI ,QB,58.2,44.0,76.0
55,Josh Jacobs,LV ,RB,58.2,48.0,68.0
56,Chase Edmonds,MIA ,RB,58.4,40.0,70.0
57,Jalen Hurts,PHI ,QB,58.6,41.0,89.0
58,David Montgomery,CHI ,RB,59.0,41.0,71.0
59,DK Metcalf,SEA ,WR,60.2,43.0,80.0
60,Marquise Brown,ARI ,WR,60.4,39.0,80.0
61,Allen Robinson II,LAR ,WR,62.6,43.0,100.0
62,Jerry Jeudy,DEN ,WR,63.6,50.0,79.0
63,Dalton Schultz,DAL ,TE,64.2,52.0,76.0
64,Elijah Mitchell,SF ,RB,64.6,54.0,75.0
65,Darnell Mooney,CHI ,WR,65.2,48.0,94.0
66,Miles Sanders,PHI ,RB,66.8,47.0,88.0
67,Kareem Hunt,CLE ,RB,67.6,59.0,83.0
68,Rhamondre Stevenson,NE ,RB,69.0,53.0,84.0
69,Damien Harris,NE ,RB,69.4,50.0,77.0
70,Elijah Moore,NYJ ,WR,69.4,55.0,83.0
71,Amon-Ra St. Brown,DET ,WR,70.6,56.0,82.0
72,Tony Pollard,DAL ,RB,71.8,57.0,91.0
73,Joe Burrow,CIN ,QB,72.8,47.0,90.0
74,Clyde Edwards-Helaire,KC ,RB,73.2,53.0,96.0
75,Rashaad Penny,SEA ,RB,75.6,68.0,87.0
76,Dallas Goedert,PHI ,TE,75.6,69.0,86.0
77,Tom Brady,TB ,QB,76.0,27.0,92.0
78,Dameon Pierce,HOU ,RB,76.0,55.0,92.0
79,Drake London,ATL ,WR,76.6,49.0,97.0
80,Chris Godwin,TB ,WR,76.6,57.0,109.0
