RK,Player,Team,Position,AVG,Min,Max
1,Jonathan Taylor,IND ,RB,1.2,1.0,2.0
2,Christian McCaffrey,CAR ,RB,2.6,1.0,5.0
3,Dalvin Cook,MIN ,RB,4.0,2.0,6.0
4,Derrick Henry,TEN ,RB,6.2,2.0,11.0
5,Austin Ekeler,LAC ,RB,6.4,4.0,13.0
6,Najee Harris,PIT ,RB,7.2,3.0,10.0
7,Joe Mixon,CIN ,RB,7.6,6.0,12.0
8,Justin Jefferson,MIN ,WR,8.6,4.0,14.0
9,Ja'Marr Chase,CIN ,WR,9.6,4.0,12.0
10,Cooper Kupp,LAR ,WR,10.2,3.0,14.0
11,Saquon Barkley,NYG ,RB,12.0,5.0,21.0
12,Stefon Diggs,BUF ,WR,13.8,8.0,17.0
13,Davante Adams,LV ,WR,14.8,9.0,20.0
14,D'Andre Swift,DET ,RB,15.2,7.0,26.0
15,Alvin Kamara,NO ,RB,15.6,13.0,19.0
16,Nick Chubb,CLE ,RB,16.4,8.0,27.0
17,Travis Kelce,KC ,TE,16.4,11.0,20.0
18,Mark Andrews,BAL ,TE,19.4,11.0,25.0
19,Javonte Williams,DEN ,RB,20.4,15.0,27.0
20,Deebo Samuel,SF ,WR,21.2,14.0,28.0
21,CeeDee Lamb,DAL ,WR,21.2,16.0,23.0
22,A.J. Brown,PHI ,WR,22.6,19.0,31.0
23,Aaron Jones,GB ,RB,22.8,9.0,33.0
24,Leonard Fournette,TB ,RB,23.4,19.0,34.0
25,James Conner,ARI ,RB,23.6,19.0,30.0
26,Mike Evans,TB ,WR,28.8,22.0,36.0
27,Kyle Pitts,ATL ,TE,29.0,11.0,47.0
28,Tyreek Hill,MIA ,WR,29.0,23.0,35.0
29,Mike Williams,LAC ,WR,29.0,24.0,33.0
30,Michael Pittman Jr.,IND ,WR,29.2,24.0,35.0
31,Cam Akers,LAR ,RB,31.6,15.0,57.0
32,Tee Higgins,CIN ,WR,31.8,25.0,36.0
33,Josh Allen,BUF ,QB,33.6,32.0,34.0
34,Travis Etienne Jr.,JAC ,RB,36.2,28.0,50.0
35,Courtland Sutton,DEN ,WR,37.0,23.0,62.0
36,DJ Moore,CAR ,WR,38.2,28.0,53.0
37,Breece Hall,NYJ ,RB,39.2,27.0,47.0
38,Jaylen Waddle,MIA ,WR,39.4,32.0,48.0
39,Keenan Allen,LAC ,WR,40.4,36.0,48.0
